time_ms,pot1,pot2,pot3,pot4
10,270,467,397,498
20,270,467,396,498
30,270,467,396,498
40,270,467,396,498
50,270,467,396,498
60,270,467,396,498
70,270,467,396,498
80,270,466,396,498
90,270,466,396,498
100,269,466,396,498
110,269,466,396,498
120,269,466,396,498
130,269,466,396,497
140,269,466,396,497
150,269,466,396,497
160,269,466,396,497
171,269,466,396,497
181,269,466,396,497
191,269,466,396,497
201,269,466,396,497
211,269,466,396,497
221,269,466,396,497
231,269,466,396,497
241,269,466,396,497
251,269,466,396,497
261,269,466,396,497
271,269,466,396,497
281,269,466,396,497
291,269,466,396,497
301,269,466,396,497
311,269,466,396,497
321,269,466,396,497
331,269,466,396,497
342,269,466,396,497
352,269,466,396,497
362,269,466,396,497
372,269,466,396,497
382,269,466,396,497
392,269,466,396,497
402,269,466,396,497
412,269,466,396,497
422,269,466,396,497
432,269,466,396,497
442,269,466,396,497
452,269,466,396,497
462,269,466,396,497
472,269,466,396,497
482,269,466,396,497
492,269,466,396,497
502,269,466,396,497
512,269,466,396,497
522,269,466,396,497
532,269,466,396,497
542,269,466,396,497
552,269,466,396,497
562,269,466,396,497
572,269,466,396,497
582,269,466,396,497
592,269,466,396,497
602,269,466,396,497
612,269,466,396,497
622,269,466,396,497
632,269,466,396,497
642,269,466,396,497
652,269,466,396,497
662,269,466,396,497
672,269,466,396,497
683,269,466,396,497
693,269,466,396,497
703,269,466,396,497
713,269,466,396,497
723,269,466,396,497
733,269,466,396,497
743,269,466,396,497
753,269,466,396,497
763,269,466,396,497
773,269,466,396,497
783,269,466,396,497
793,269,466,396,497
803,269,466,396,497
813,269,466,396,497
823,269,466,396,497
833,269,466,396,497
843,269,466,396,497
854,269,466,396,497
864,269,466,396,497
874,269,466,396,497
884,269,466,396,497
894,269,466,396,497
904,269,466,396,497
914,269,466,396,497
924,269,466,396,497
934,269,466,396,497
944,269,466,396,497
954,269,466,396,497
964,269,466,396,497
974,269,466,396,497
984,269,466,396,497
994,269,466,396,497
1004,269,466,396,497
1014,269,466,396,497
1024,269,466,396,497
1034,269,466,396,497
1044,269,466,396,497
1054,269,466,396,497
1064,269,466,396,497
1074,269,466,396,497
1084,269,466,396,497
1094,269,466,396,497
1104,269,466,396,497
1114,269,466,396,497
1124,269,466,396,497
1134,269,466,396,497
1144,269,466,396,497
1154,269,466,396,497
1164,269,466,396,497
1174,269,466,396,497
1184,269,466,396,497
1195,269,466,396,497
1205,269,466,396,497
1215,269,466,396,497
1225,269,466,396,497
1235,269,466,396,497
1245,269,466,396,497
1255,269,466,396,497
1265,269,466,396,497
1275,269,466,396,497
1285,269,466,396,497
1295,269,466,396,497
1305,269,466,396,497
1315,269,466,396,497
1325,269,466,396,497
1335,269,466,396,497
1345,269,466,396,497
1355,269,466,396,497
1366,269,466,396,497
1376,269,466,396,497
1386,269,466,396,497
1396,269,466,396,497
1406,269,466,396,497
1416,269,466,396,497
1426,269,466,396,497
1436,269,466,396,497
1446,269,466,396,497
1456,269,466,396,497
1466,269,466,396,497
1476,269,466,396,497
1486,269,466,396,497
1496,269,466,396,497
1506,269,466,396,497
1516,269,466,396,497
1526,269,466,396,497
1536,269,466,396,497
1546,269,466,396,497
1556,269,466,396,497
1566,269,466,396,497
1576,269,466,396,497
1586,269,466,396,497
1596,269,466,396,497
1606,269,466,396,497
1616,269,466,396,497
1626,269,466,396,497
1636,269,466,396,497
1646,269,466,396,497
1656,269,466,396,497
1666,269,466,396,497
1676,269,466,396,497
1686,269,466,396,497
1696,269,466,396,497
1707,269,466,396,497
1717,269,466,396,497
1727,269,466,396,497
1737,269,466,396,497
1747,269,466,396,497
1757,269,466,396,497
1767,269,466,396,497
1777,269,466,396,497
1787,269,466,396,497
1797,269,466,396,497
1807,269,466,396,497
1817,269,466,396,497
1827,269,466,396,497
1837,269,466,396,497
1847,269,466,396,497
1857,269,466,396,497
1867,269,466,396,497
1878,269,466,396,497
1888,269,466,396,497
1898,269,466,396,497
1908,269,466,396,497
1918,269,466,396,497
1928,269,466,396,497
1938,269,466,396,497
1948,269,466,396,497
1958,269,466,396,497
1968,269,466,396,497
1978,269,466,396,497
1988,269,466,396,497
1998,269,466,396,497
2008,269,466,396,497
2018,269,466,396,497
2028,269,466,396,497
2038,269,466,396,497
2048,269,466,396,497
2058,269,466,396,497
2068,269,466,396,497
2078,269,466,396,497
2088,269,466,396,497
2098,269,466,396,497
2108,269,466,396,497
2118,269,466,396,497
2128,269,466,396,497
2138,269,466,396,497
2148,269,466,396,497
2158,269,466,396,497
2168,269,466,396,497
2178,269,466,396,497
2188,269,466,396,497
2198,269,466,396,497
2208,269,466,396,497
2219,269,466,396,497
2229,269,466,396,497
2239,269,466,396,497
2249,269,466,396,497
2259,269,466,396,497
2269,269,466,396,497
2279,269,466,396,497
2289,269,466,396,497
2299,269,466,396,497
2309,269,466,396,497
2319,269,466,396,497
2329,269,466,396,497
2339,269,466,396,497
2349,269,466,396,497
2359,269,466,396,497
2369,269,466,396,497
2379,269,466,396,497
2390,269,466,396,497
2400,269,466,396,497
2410,269,466,396,497
2420,269,466,396,497
2430,269,466,396,497
2440,269,466,396,497
2450,269,466,396,497
2460,269,466,396,497
2470,269,466,396,497
2480,269,466,396,497
2490,269,466,396,497
2500,269,466,396,497
2510,269,466,396,497
2520,269,466,396,497
2530,269,466,396,497
2540,269,466,396,497
2550,269,466,396,497
2560,269,466,396,497
2570,269,466,396,497
2580,269,466,396,497
2590,269,466,396,497
2600,269,466,396,497
2610,269,466,396,497
2620,269,466,396,497
2630,269,466,396,497
2640,269,466,396,497
2650,269,466,396,497
2660,269,466,396,497
2670,269,466,396,497
2680,269,466,396,497
2690,269,466,396,497
2700,269,466,396,497
2710,269,466,396,497
2720,269,466,396,497
2731,269,466,396,497
2741,269,466,396,497
2751,269,466,396,497
2761,269,466,396,497
2771,269,466,396,497
2781,269,466,396,497
2791,269,466,396,497
2801,269,466,396,497
2811,269,466,396,497
2821,269,466,396,497
2831,269,466,396,497
2841,269,466,396,497
2851,269,466,396,497
2861,269,466,396,497
2871,269,466,396,497
2881,269,466,396,497
2891,269,466,396,497
2902,269,466,396,497
2912,269,466,396,497
2922,269,466,396,497
2932,269,466,396,497
2942,269,466,396,497
2952,269,466,396,497
2962,269,466,396,497
2972,269,466,396,497
2982,269,466,396,497
2992,269,466,396,497
3002,269,466,396,497
3012,269,466,396,497
3022,269,466,396,497
3032,269,466,396,497
3042,269,466,396,497
